Наименование,Марка,Длина,"Цена за 1т, руб.","Цена за 1т, руб. с НДС",Поставщик
Арматура А1 10,А240,11.7,67 500,,Скат Екб (343) 301-12-16
Арматура А1 10,ст3,бухты,67 600,,СтройПартнер Крдр (861) 205-74-84
Арматура А1 10,А240,,67 980,,Металлоторг Арх (8182) 24-26-08
Арматура А1 10,А240,6,67 980,,Металлоторг Арх (8182) 24-26-08
Арматура А1 10,А240,5.8-5.9,68 000,,Скат Екб (343) 301-12-16
Арматура А1 10,ст3,11.7,68 000,,УВМ-СТАЛЬ Сам (846) 233-65-63
Арматура А1 10,3сп,11.7,68 300,,Мечел-Сервис Мск (800) 700-95-50
Арматура А1 10,,11.75,68 400,,Российский металл Уфа (347) 222-20-18
Арматура А1 10,А240,11.7,68 900,,Мечел-Сервис СПб (800) 700-95-50
Арматура А1 10,А240,6,68 900,,Мечел-Сервис СПб (800) 700-95-50
Арматура А1 10,,бухты,69 000,,БЛОК Сев (8692) 41-22-18
Арматура А1 10,А240,6,69 360>1т,70 040<1т,ЕВРАЗ Маркет Соч (800) 511-09-53
Арматура А1 10,А240С,12,69 360>1т,70 040<1т,ЕВРАЗ Маркет Соч (800) 511-09-53
Арматура А1 10,3сп,6.02,69 840,,МАРТЕН Ввк (423) 260-65-79
Арматура А1 10,А240,11.7,70 050,,А ГРУПП Ввк (4232) 00-39-07
Арматура А1 10,3сп,11.75,70 810,,МАРТЕН Ввк (423) 260-65-79
Арматура А1 10,,6,71 000,,БЛОК Сев (8692) 41-22-18
Арматура А1 10,А240,12,71 500,,А ГРУПП Хаб (4212) 944-077
Арматура А1 10,А240С,11.7,71 500,,А ГРУПП Хаб (4212) 944-077
Арматура А1 10,ст3,11.7,71 900,,СтройПартнер РнД (863) 322-40-11
Арматура А1 10,3сп,6,72 5001т,,Шери НН (831) 433-18-16
Арматура А1 10,А240,11.7,77 250>3т,77 250<3т,ЕВРАЗ Маркет ЮС (800) 511-09-53
Арматура А1 10,А240,12,80 000,,А ГРУПП Яку (4112) 25-88-75
Арматура А1 10,А240,12,81 000,,А ГРУПП ЮС (4242) 30-35-72
Арматура А1 10,А240,6,звоните,,ДиПОС СПб (812) 320-47-85
Арматура А1 10,А240,бухты,звоните,,ДиПОС СПб (812) 320-47-85
Арматура А1 10,,11.7,звоните,,Торговый дом ММК Ряз (4912) 20-66-65
Арматура А1 10,ст3,11.7,звоните,,УВМ-СТАЛЬ Врнж (473) 205-98-95
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Крдр (861) 265-88-77
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Крдр (861) 265-88-77
Арматура А1 10,А240,бухты,звоните,,Металлсервис Крдр (861) 265-88-77
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Крдр (861) 265-88-77
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Крдр (861) 265-88-77
Арматура А1 10,ст3,6,звоните,,Металлсервис Нск (383) 210-56-56
Арматура А1 10,А240,12,звоните,,Металлсервис Нск (383) 210-56-56
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Нск (383) 210-56-56
Арматура А1 10,,6,звоните,,Брок-Инвест-Сервис и К НН (831) 429-06-25
Арматура А1 10,,6,звоните,,Брок-Инвест-Сервис и К Мск (495) 980-98-80
Арматура А1 10,,11.7,звоните,,Брок-Инвест-Сервис и К Мск (495) 980-98-80
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Чеб (8352) 20-22-75
Арматура А1 10,ст3,6,звоните,,Металлсервис Чеб (8352) 20-22-75
Арматура А1 10,А240С,6,звоните,,Металлсервис Чеб (8352) 20-22-75
Арматура А1 10,А240,бухты,звоните,,Металлсервис Чеб (8352) 20-22-75
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Чеб (8352) 20-22-75
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Чеб (8352) 20-22-75
Арматура А1 10,ст3,6,звоните,,Металлсервис НН (831) 257-79-33
Арматура А1 10,ст3,6,звоните,,Металлсервис НН (831) 257-79-33
Арматура А1 10,ст3,11.7,звоните,,Металлсервис НН (831) 257-79-33
Арматура А1 10,А240С,6,звоните,,Металлсервис НН (831) 257-79-33
Арматура А1 10,А240,бухты,звоните,,Металлсервис НН (831) 257-79-33
Арматура А1 10,А240,бухты,звоните,,Металлсервис НН (831) 257-79-33
Арматура А1 10,ст3,бухты,звоните,,Металлсервис НН (831) 257-79-33
Арматура А1 10,ст3,бухты,звоните,,Металлсервис НН (831) 257-79-33
Арматура А1 10,А240С,бухты,звоните,,Металлсервис НН (831) 257-79-33
Арматура А1 10,А240С,6,звоните,,Металлсервис Мск (495) 925-11-55
Арматура А1 10,ст3,6,звоните,,Металлсервис Мск (495) 925-11-55
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Мск (495) 925-11-55
Арматура А1 10,А240,бухты,звоните,,Металлсервис Мск (495) 925-11-55
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Мск (495) 925-11-55
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Мск (495) 925-11-55
Арматура А1 10,ст3,6,звоните,,Металлсервис Таг (863) 437-53-55
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Таг (863) 437-53-55
Арматура А1 10,А240С,6,звоните,,Металлсервис Таг (863) 437-53-55
Арматура А1 10,А240,бухты,звоните,,Металлсервис Таг (863) 437-53-55
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Таг (863) 437-53-55
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Таг (863) 437-53-55
Арматура А1 10,ст3,11.7,звоните,,УВМ-СТАЛЬ Тюм (3452) 65-20-20
Арматура А1 10,,6,звоните,,Брок-Инвест-Сервис и К Вмр (495) 980-98-80 д.812
Арматура А1 10,,11.7,звоните,,Брок-Инвест-Сервис и К Вмр (495) 980-98-80 д.812
Арматура А1 10,,бухты,звоните,,Металлокомплект-М Мск (495) 739-98-92
Арматура А1 10,,11.7,звоните,,Металлокомплект-М Мск (495) 739-98-92
Арматура А1 10,,,звоните,,Брок-Инвест-Сервис и К РнД (863) 303-67-23
Арматура А1 10,ст3,6,звоните,,Металлсервис Пер (342) 249-09-09
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Пер (342) 249-09-09
Арматура А1 10,А240,бухты,звоните,,Металлсервис Пер (342) 249-09-09
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Пер (342) 249-09-09
Арматура А1 10,ст3,6,звоните,,Металлсервис Бар (3852) 506-086
Арматура А1 10,А240,12,звоните,,Металлсервис Бар (3852) 506-086
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Бар (3852) 506-086
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Бря (4832) 78-31-04
Арматура А1 10,ст3,6,звоните,,Металлсервис Бря (4832) 78-31-04
Арматура А1 10,А240С,6,звоните,,Металлсервис Бря (4832) 78-31-04
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Бря (4832) 78-31-04
Арматура А1 10,А240,бухты,звоните,,Металлсервис Бря (4832) 78-31-04
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Бря (4832) 78-31-04
Арматура А1 10,А240,6,звоните,,ДиПОС Крдр (861) 234-47-77
Арматура А1 10,ст3,11.7,звоните,,УВМ-СТАЛЬ Пер (342) 256-35-33
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Екб (343) 385-58-90
Арматура А1 10,ст3,6,звоните,,Металлсервис Екб (343) 385-58-90
Арматура А1 10,А240С,6,звоните,,Металлсервис Екб (343) 385-58-90
Арматура А1 10,А240С,11.7,звоните,,Металлсервис Екб (343) 385-58-90
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Екб (343) 385-58-90
Арматура А1 10,А240,бухты,звоните,,Металлсервис Екб (343) 385-58-90
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Екб (343) 385-58-90
Арматура А1 10,,бухты,звоните,,Торговый дом ММК Мск (495) 604-16-40
Арматура А1 10,ст3,6,звоните,,Металлсервис Хаб (4212) 46-40-02
Арматура А1 10,А240,12,звоните,,Металлсервис Хаб (4212) 46-40-02
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Хаб (4212) 46-40-02
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Хаб (4212) 46-40-02
Арматура А1 10,ст3,11.7,звоните,,УВМ-СТАЛЬ Мск (495) 137-74-76 доб.
Арматура А1 10,,6,звоните,,Брок-Инвест-Сервис и К Тула (4872) 25-08-90
Арматура А1 10,,11.7,звоните,,Брок-Инвест-Сервис и К Тула (4872) 25-08-90
Арматура А1 10,,6,звоните,,Брок-Инвест-Сервис и К СПб (812) 309-02-52
Арматура А1 10,ст3,11.7,звоните,,СтройПартнер Став (8652) 31-71-51
Арматура А1 10,ст3,11.7,звоните,,УВМ-СТАЛЬ Сур (345) 265-20-20
Арматура А1 10,ст3,6,звоните,,УВМ-СТАЛЬ Сур (345) 265-20-20
Арматура А1 10,ст3,бухты,звоните,,УВМ-СТАЛЬ Сур (345) 265-20-20
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Сам (846) 300-43-36
Арматура А1 10,ст3,6,звоните,,Металлсервис Сам (846) 300-43-36
Арматура А1 10,А240С,6,звоните,,Металлсервис Сам (846) 300-43-36
Арматура А1 10,А240С,11.7,звоните,,Металлсервис Сам (846) 300-43-36
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Сам (846) 300-43-36
Арматура А1 10,А240,бухты,звоните,,Металлсервис Сам (846) 300-43-36
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Сам (846) 300-43-36
Арматура А1 10,,6,звоните,,Брок-Инвест-Сервис и К Яро (4852) 67-40-46
Арматура А1 10,,6,звоните,,Брок-Инвест-Сервис и К Ряз (4912) 46-65-06
Арматура А1 10,ст3,6,звоните,,Металлсервис Чел (351) 220-75-47
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Чел (351) 220-75-47
Арматура А1 10,А240С,6,звоните,,Металлсервис Чел (351) 220-75-47
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Чел (351) 220-75-47
Арматура А1 10,А240,бухты,звоните,,Металлсервис Чел (351) 220-75-47
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Чел (351) 220-75-47
Арматура А1 10,ст3,11.7,звоните,,Металлсервис СПб (812) 333-20-00
Арматура А1 10,ст3,11.7,звоните,,Металлсервис СПб (812) 333-20-00
Арматура А1 10,ст3,6,звоните,,Металлсервис СПб (812) 333-20-00
Арматура А1 10,ст3,6,звоните,,Металлсервис СПб (812) 333-20-00
Арматура А1 10,ст3,6,звоните,,Металлсервис РнД (863) 287-07-07
Арматура А1 10,ст3,11.7,звоните,,Металлсервис РнД (863) 287-07-07
Арматура А1 10,ст3,11.7,звоните,,Металлсервис РнД (863) 287-07-07
Арматура А1 10,А240С,6,звоните,,Металлсервис РнД (863) 287-07-07
Арматура А1 10,А240,бухты,звоните,,Металлсервис РнД (863) 287-07-07
Арматура А1 10,ст3,бухты,звоните,,Металлсервис РнД (863) 287-07-07
Арматура А1 10,А240С,бухты,звоните,,Металлсервис РнД (863) 287-07-07
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Сртв (8453) 44-79-00
Арматура А1 10,ст3,6,звоните,,Металлсервис Сртв (8453) 44-79-00
Арматура А1 10,А240С,6,звоните,,Металлсервис Сртв (8453) 44-79-00
Арматура А1 10,А240,бухты,звоните,,Металлсервис Сртв (8453) 44-79-00
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Сртв (8453) 44-79-00
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Сртв (8453) 44-79-00
Арматура А1 10,,6,звоните,,Брок-Инвест-Сервис и К Тве (4822) 62-00-10
Арматура А1 10,,11.7,звоните,,Брок-Инвест-Сервис и К Тве (4822) 62-00-10
Арматура А1 10,А240С,11.7,звоните,,Абинский ЭлектроМеталлургический Завод Крдр (861) 504-18-72
Арматура А1 10,А240С,бухты,звоните,,Абинский ЭлектроМеталлургический Завод Крдр (861) 504-18-72
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Кур (4712) 77-00-05
Арматура А1 10,ст3,6,звоните,,Металлсервис Кур (4712) 77-00-05
Арматура А1 10,А240С,6,звоните,,Металлсервис Кур (4712) 77-00-05
Арматура А1 10,А240,бухты,звоните,,Металлсервис Кур (4712) 77-00-05
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Кур (4712) 77-00-05
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Кур (4712) 77-00-05
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Бел (4722) 42-42-58
Арматура А1 10,ст3,6,звоните,,Металлсервис Бел (4722) 42-42-58
Арматура А1 10,А240С,6,звоните,,Металлсервис Бел (4722) 42-42-58
Арматура А1 10,А240,бухты,звоните,,Металлсервис Бел (4722) 42-42-58
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Бел (4722) 42-42-58
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Бел (4722) 42-42-58
Арматура А1 10,ст3,11.7,звоните,,Металлсервис Пен (8412) 36-96-59
Арматура А1 10,ст3,6,звоните,,Металлсервис Пен (8412) 36-96-59
Арматура А1 10,А240С,6,звоните,,Металлсервис Пен (8412) 36-96-59
Арматура А1 10,ст3,бухты,звоните,,Металлсервис Пен (8412) 36-96-59
Арматура А1 10,А240,бухты,звоните,,Металлсервис Пен (8412) 36-96-59
Арматура А1 10,А240С,бухты,звоните,,Металлсервис Пен (8412) 36-96-59
